4,14,25,10
4,14,30,9
4,14,35,6
4,14,40,10
4,14,45,5
4,14,50,4
4,14,55,8
4,14,55,1
4,15,0,3
4,15,5,3
4,15,10,7
4,15,15,10
4,15,20,5
4,15,25,8
4,15,30,8
4,15,35,14
4,15,40,13
4,15,45,21
4,15,50,20
4,15,55,18
4,15,55,6
4,16,0,10
4,16,5,9
4,16,10,6
4,16,15,5
4,16,20,2
4,16,25,7
4,16,30,2
4,16,35,3
4,16,40,7
4,16,45,5
4,16,50,8
4,16,55,3
4,16,55,1
4,17,0,5
4,17,5,6
4,17,10,4
4,17,15,4
4,17,20,7
4,17,25,3
4,17,30,3
4,17,35,5
4,17,40,3
4,17,45,3
4,17,50,2
4,17,55,1
4,17,55,2
4,18,0,2
4,18,5,2
4,18,15,2
4,18,25,1
4,18,30,1
4,18,40,1
4,18,45,2
4,18,50,1
4,18,55,2
4,18,55,2
4,19,5,1
4,19,10,1
4,19,20,1
4,20,0,2
4,21,5,1
4,21,20,1
4,21,35,1
4,23,30,1
5,6,5,1
5,6,25,1
5,6,50,1
5,7,5,1
5,7,10,1
5,7,15,3
5,7,25,2
5,7,30,2
5,7,35,1
5,7,40,2
5,7,45,4
5,7,50,14
5,7,55,5
5,7,55,3
5,8,0,7
5,8,5,3
5,8,10,4
5,8,15,4
5,8,20,3
5,8,25,5
5,8,30,4
5,8,35,9
5,8,40,16
5,8,45,11
5,8,50,26
5,8,55,10
5,8,55,2
5,9,0,18
5,9,5,25
5,9,10,4
5,9,15,5
5,9,20,7
5,9,25,8
5,9,30,9
5,9,35,19
5,9,40,16
5,9,45,27
5,9,50,19
5,9,55,25
5,9,55,3
5,10,0,16
5,10,5,14
5,10,10,13
5,10,15,19
5,10,20,12
5,10,25,10
5,10,30,9
5,10,35,10
5,10,40,19
5,10,45,15
5,10,50,11
5,10,55,11
5,10,55,3
5,11,0,16
5,11,5,11
5,11,10,16
5,11,15,11
5,11,20,9
5,11,25,12
5,11,30,6
5,11,35,5
5,11,40,9
5,11,45,10
5,11,50,11
5,11,55,8
5,11,55,5
5,12,0,10
5,12,5,11
5,12,10,5
5,12,15,3
5,12,20,10
5,12,25,7
5,12,30,11
5,12,35,2
5,12,40,11
5,12,45,20
5,12,50,21
5,12,55,22
5,12,55,2
5,13,0,10
5,13,5,9
5,13,10,8
5,13,15,14
5,13,20,8
5,13,25,7
5,13,30,6
5,13,35,10
5,13,40,17
5,13,45,14
5,13,50,9
5,13,55,20
5,13,55,8
5,14,0,20
5,14,5,20
5,14,10,17
5,14,15,10
5,14,20,13
5,14,25,10
5,14,30,14
5,14,35,6
5,14,40,19
5,14,45,20
5,14,50,21
5,14,55,25
5,14,55,5
5,15,0,12
5,15,5,13
5,15,10,11
5,15,15,15
5,15,20,5
5,15,25,9
5,15,30,13
5,15,35,16
5,15,40,13
5,15,45,10
5,15,50,17
5,15,55,11
5,16,0,11
5,16,5,9
5,16,10,11
5,16,15,8
5,16,20,16
5,16,25,10
5,16,30,8
5,16,35,8
5,16,40,6
5,16,45,12
5,16,50,10
5,16,55,6
5,17,0,10
5,17,5,7
5,17,10,11
5,17,15,5
5,17,20,4
5,17,25,6
5,17,30,5
5,17,35,4
5,17,40,5
5,17,50,3
5,17,55,6
5,18,0,5
5,18,15,2
5,18,20,3
5,18,35,2
5,18,40,1
5,18,55,1
5,19,5,1
5,19,10,1
5,19,15,1
5,19,20,1
5,19,25,2
5,19,40,1
5,19,55,1
5,20,20,2
5,20,25,2
5,21,0,1
5,21,15,1
5,21,20,1
5,22,5,1
6,6,35,1
6,7,5,1
6,7,10,1
6,7,20,1
6,7,30,2
6,7,35,1
6,7,40,2
6,7,45,2
6,7,50,3
6,7,55,4
6,8,0,8
6,8,5,4
6,8,10,4
6,8,15,3
6,8,20,7
6,8,25,5
6,8,30,4
6,8,35,5
6,8,40,15
6,8,45,6
6,8,50,10
6,8,55,7
6,8,55,6
6,9,0,17
6,9,5,13
6,9,10,9
6,9,15,3
6,9,20,6
6,9,25,15
6,9,30,14
6,9,35,7
6,9,40,11
6,9,45,21
6,9,50,24
6,9,55,18
6,9,55,7
6,10,0,21
6,10,5,12
6,10,10,13
6,10,15,17
6,10,20,22
6,10,25,20
6,10,30,10
6,10,35,9
6,10,40,11
6,10,45,16
6,10,50,18
6,10,55,16
6,10,55,8
6,11,0,15
6,11,5,16
6,11,10,12
6,11,15,4
6,11,20,4
6,11,25,3
6,11,30,7
6,11,35,7
6,11,40,10
6,11,45,7
6,11,50,8
6,11,55,11
6,11,55,2
6,12,0,6
6,12,5,9
6,12,10,3
6,12,15,5
6,12,20,12
6,12,25,10
6,12,30,8
6,12,35,5
6,12,40,14
6,12,45,13
6,12,50,10
6,12,55,11
6,12,55,8
6,13,0,11
6,13,5,10
6,13,10,12
